word,count
(three,1
working,1
firm,1
while,1
learn,1
Circuits,2
Software,1
Fasteners,1
/,1
with,4
Hydraulic,1
Arduino,1
a,1
including:,1
Jack,1
Threads,1
Robots,1
EXPERIENCE,1
3-D,1
Cones,1
aerospace,1
MechLab,1
High,1
years),1
processes,1
Designing,1
or,1
Works,1
Solid,1
Aerodynamics,1
student,1
in,2
work,1
on,1
shadow,1
2-D,1
Process,1
of,1
(Solid,1
through,1
Worked,1
defense,1
summer,1
projects,1
Works),1
seeks,1
PROFILE,1
to,1
presentations,1
School—Participated,1
Britt,1
internship,1
an,1
Nose,1
and,9
Outstanding,1
experience,1
RESUME,1
doing,1
opportunity,1
technology,2
Design,1
Modeling,1
engineering,1
AutoCad,2
Programmable,1
Engineering,1
by,1
job,1
Pneumatic,1
Intensive,1
