word,count
quality,1
subordinate,2
priorities,1
developing,1
ensuring,1
work,3
performed,1
provisions,1
services,2
contract,3
program,1
outreach,1
that,1
compliance,2
products,2
implementation,1
projects,1
units,1
Assuring,1
provided,1
project,1
Conducting,1
as,2
assigned,1
are,1
evaluating,2
in,1
acquiring,1
and,17
pertaining,1
of,4
operationally,1
to,3
budgetary,1
organizations,1
under,1
needs,1
staff,1
directing,1
branch,1
existing,1
objectives,2
goals,2
improvement,1
by,2
Planning,2
standards,1
assigning,1
improving,1
missions,1
reports,1
well,1
effective,1
S&T,1
making,1
marketing,1
NUSTL,2
responsive,1
the,5
programs,1
customers,1
stakeholders,1
costs,1
evaluate,1
while,1
delivering,1
requirements,1
customer,1
expenditures,1
measures,1
DHS,1
Monitoring,1
partners,1
potential,1
determining,1
cost,1
operating,1
continuously,1
with,2
support,1
for,4
feasible,1
those,1
recommendations,1
including,1
establishing,2
performance,3
schedules,1
