word,count
existing,1
management,1
units,1
direct,1
activities,1
operationally,1
(Solid,1
staff,1
with,2
under,1
and,20
expenditures,1
implementation,1
work,1
Projects,1
responsive,1
goals,2
missions,1
delivering,1
pertaining,1
Designing,1
Laboratory,1
performed,1
improving,1
the,7
marketing,1
requirements,1
operating,1
those,1
Process,1
needs,1
S&T,1
Programs,1
by,2
ensuring,1
support,1
Threads,1
Software,1
manager,1
are,1
federal,1
for,5
organizations,1
of,7
products,2
Expert,1
project,2
complex,1
compliance,2
on,1
DHS,1
measures,1
performance,1
oversight,1
research,1
budgetary,1
principles,1
partners,1
Assuring,1
continuously,1
program,2
Aerodynamics,1
Serve,3
costs,1
while,1
provided,1
that,1
to,3
acquiring,1
feasible,1
programs,1
improvement,1
at,1
recommendations,1
branch,1
well,1
Infrastructure,1
evaluate,1
development,1
cost,1
line,1
making,1
consisting,1
Monitoring,1
3-D,1
potential,1
Conducting,1
Cones,1
customers,1
contract,3
objectives,2
determining,1
Planning,1
services,2
Works),1
a,3
Subject,1
Nose,1
assigned,1
developing,1
NUSTL,2
schedules,1
in,2
reports,1
stakeholders,1
effective,1
Fasteners,1
practices,1
outreach,1
Supervisor,1
as,5
Modeling,1
Argonne,1
quality,1
Matter,1
areas,1
subordinate,1
professional,1
projects,1
scientific,1
customer,1
provisions,1
National,1
